DateTime,heii_qu,heii_qd,heni_qu,isli_qu
1/28/1988,2562.11,1040,39.95,364.3
1/29/1988,2855.99,1050,39.55,509.54
1/30/1988,2847.97,1040,73.34,581.48
1/31/1988,2448.51,1030,8.7,377.72
2/1/1988,2222.33,1010,74.04,513.22
2/2/1988,2483.95,1000,8.3,380.76
2/3/1988,1944.69,980,8.7,415.46
2/4/1988,2120.85,990,69.1,404.88
2/5/1988,2236.25,1000,7.9,487.29
2/6/1988,2362.41,1020,7.8,417.97
2/7/1988,2203.65,1010,37.65,414.4
2/8/1988,2378.69,1010,7.4,383.03
2/9/1988,2770.89,1030,-23.55,389.98
2/10/1988,2524.59,1050,6,384.26
2/11/1988,2581.31,1050,71.64,455.18
2/12/1988,2748.79,1050,6.4,430.5
2/13/1988,2745.79,1040,66.4,540.97
2/14/1988,2424.62,1030,40.49,343.95
2/15/1988,2580.65,1020,66.1,626.36
2/16/1988,2418.84,1020,40.59,308.86
2/17/1988,2547.86,1030,5.1,424.42
2/18/1988,2498.1,1030,65.7,451.72
2/19/1988,2182.92,1040,3.9,379.58
2/20/1988,2515.76,1040,1.1,380.3
2/21/1988,2477.49,1050,1.9,376.68
2/22/1988,2177.38,1050,1.9,376.19
2/23/1988,2120.22,1050,1.8,267.55
2/24/1988,2206.4,1080,1.9,342.91
2/25/1988,2334.3,1100,1.9,378.78
2/26/1988,2427.05,1090,67.44,369.31
2/27/1988,2273.04,1100,1.9,418.32
2/28/1988,2324.77,1090,1.9,343.97
2/29/1988,2439.69,1090,1.9,345.1
3/1/1988,2515.32,1100,1.9,348.01
3/2/1988,2467.68,1100,32.15,453.07
3/3/1988,2417.3,1110,97.59,443.68
3/4/1988,2522.77,1110,1.8,412.09
3/5/1988,2356.54,1100,1.8,394.19
3/6/1988,2809,1130,158.09,626.75
3/7/1988,2546.76,1120,1.8,357.36
3/8/1988,2413.48,1100,1.8,280.74
3/9/1988,2376.68,1100,1.8,474.61
3/10/1988,2347.38,1110,1.8,476.57
3/11/1988,2134.6,1090,1.8,323.16
3/12/1988,2527.01,1070,37.09,318.62
3/13/1988,2315.67,1070,57.26,418.26
3/14/1988,2226.15,1070,1.8,402.45
3/15/1988,2232,1090,1.8,368.74
3/16/1988,2294.55,1090,1.8,374.64
3/17/1988,2177.09,1070,42.13,457.1
3/18/1988,2059.85,1080,32.15,369.48
3/19/1988,2371.28,1090,67.44,435.58
3/20/1988,2523.3,1130,2,335.17
3/21/1988,2489.84,1190,62.5,385.42
3/22/1988,2248.24,1300,2,344.36
3/23/1988,3169.99,1330,2,574.73
3/24/1988,2978.14,1260,2,367.16
3/25/1988,2658.52,1250,2,284.26
3/26/1988,3185.08,1640,97.79,935.2
3/27/1988,3491.67,1660,32.35,-9.25
3/28/1988,2856.17,1240,2,377.12
3/29/1988,2881.23,1190,2,560
3/30/1988,2900.76,1190,2,417.81
3/31/1988,2608.57,1160,2,380.63
4/1/1988,2616.25,1160,67.54,407.98
4/2/1988,2841.86,1320,67.54,464.32
4/3/1988,3413.84,1490,97.79,503.73
4/4/1988,4448.9,1640,67.54,579.65
4/5/1988,3570.61,1360,2,391.56
4/6/1988,3666.34,1410,32.35,378.25
4/7/1988,4265.36,1500,157.62,547.13
4/8/1988,4190.39,1410,162.15,630.39
4/9/1988,3890.02,1290,2.1,422.67
4/10/1988,3860.46,1260,2.1,372
4/11/1988,4245.35,1310,130.6,463.83
4/12/1988,4742.11,1390,34.18,410.18
4/13/1988,5917.87,1510,98.69,519.36
4/14/1988,7160.72,1580,131.32,570.01
4/15/1988,7449.9,1760,196.72,650.51
4/16/1988,6318.4,2270,99.73,586.47
4/17/1988,11895.31,2780,34.61,633.06
4/18/1988,10144.62,3200,132.71,872.23
4/19/1988,10705.44,3430,132.21,1065.78
4/20/1988,11115.56,3440,193.71,1198.51
4/21/1988,10996.4,3480,291.06,1420.61
4/22/1988,10846.95,3510,1.9,1159.17
4/23/1988,9092.83,3480,325.58,1422.08
4/24/1988,8440.96,3410,-289.52,667.07
4/25/1988,7680.92,3350,131.2,1097.12
4/26/1988,7366.85,3150,392.09,1072.94
4/27/1988,6666.42,2850,-30.75,691.11
4/28/1988,6366.54,2830,99.83,829.75
4/29/1988,6826.44,2970,1.8,925.78
4/30/1988,7486.9,3370,198.52,1208.52
5/1/1988,8543.66,3700,-96.67,559.03
5/2/1988,7471.07,3810,-30.97,535.94
5/3/1988,6859.62,4100,231.75,882.64
5/4/1988,6608.3,4190,-195.37,463.65
5/5/1988,6376.93,4510,1.7,609.85
5/6/1988,5883.14,5450,-31.07,643.22
5/7/1988,7369.65,7140,560.48,1257.78
5/8/1988,7301.42,8770,-195.13,342.04
5/9/1988,7421.38,8790,100.45,629.86
5/10/1988,7671.97,8810,1.7,733.93
5/11/1988,7948.48,9010,1.7,588.06
5/12/1988,9624.31,9670,34.4,604.71
5/13/1988,12977.28,11000,-129.85,747.56
5/14/1988,15725.68,11500,67.73,462.11
5/15/1988,16596.5,11500,99.6,725
5/16/1988,15905.5,11300,34.3,669.7
5/17/1988,18875.75,11200,198.47,917.79
5/18/1988,21874.17,11100,298.5,857.98
5/19/1988,19917.09,10900,-163.71,472.79
5/20/1988,16487.96,10700,1.5,630
5/21/1988,15242.04,10700,-64.42,413.48
5/22/1988,15260.58,11100,-31.4,565.1
5/23/1988,17075.43,11700,1.5,513.31
5/24/1988,18715.74,12100,166.34,760.84
5/25/1988,20040.89,12500,-31.55,-49.26
5/26/1988,20028.21,12600,-255.73,930.98
5/27/1988,21798.81,12400,553.06,1045.55
5/28/1988,20467.95,12300,-106.59,412.62
5/29/1988,20683.3,12200,-565.85,71.69
5/30/1988,22159.83,12100,884.48,1502.25
5/31/1988,19768.48,11400,-172.41,426.59
6/1/1988,15845.84,10700,28,403.34
6/2/1988,13410.55,10100,61.2,661.87
6/3/1988,12425.23,10000,194.21,661.82
6/4/1988,13785.78,10100,61.3,520.07
6/5/1988,18250.28,10700,94.72,617.72
6/6/1988,21608.72,11200,28,463.81
6/7/1988,18761.42,13100,61.37,529.86
6/8/1988,18752.18,15600,-72.09,436.91
6/9/1988,17589.49,15700,94.72,488.75
6/10/1988,16166.71,14500,28,457.47
6/11/1988,15193.85,13200,-72.02,257.79
6/12/1988,14161.21,14000,496.72,1154.89
6/13/1988,13305.07,14900,-474.04,-103.86
6/14/1988,12294.31,13800,-5.25,465.07
6/15/1988,11431.06,12800,28,407.39
6/16/1988,10977.56,12800,-137.97,359.96
6/17/1988,10988.09,12800,-105.29,336.22
6/18/1988,11382.54,12800,-6.05,559.01
6/19/1988,11798.94,12600,27,509.28
6/20/1988,11303.14,12300,291.83,628.99
6/21/1988,11230.22,12300,-237.83,643.76
6/22/1988,10973.21,12400,259.66,685.48
6/23/1988,10508.3,12400,-203.66,348.78
6/24/1988,9888.82,12300,-4.98,557.89
6/25/1988,9014,12500,253.21,683.51
6/26/1988,9892.28,12800,-347.15,221.8
6/27/1988,9651.21,12900,80.55,549.32
6/28/1988,8362.43,12900,-248.12,133.8
6/29/1988,7889.11,12700,-114.66,305.86
6/30/1988,7228.78,12700,15.77,462.84
7/1/1988,6851.87,12600,111.25,628.87
7/2/1988,6384.2,12500,108.46,621.39
7/3/1988,6148.57,12500,-214.76,280.36
7/4/1988,6171.21,12400,69.04,697.07
7/5/1988,6074.97,12400,5.35,644.91
7/6/1988,5332.65,12400,-156.3,351.66
7/7/1988,5374.11,12900,37.06,652.34
7/8/1988,5101.05,13300,-251.23,316.62
7/9/1988,5054.67,13300,4.83,658.61
7/10/1988,4603.08,13600,-127.09,415.99
7/11/1988,5121.37,14400,-95.05,584.99
7/12/1988,4790.56,14500,-1.57,575.19
7/13/1988,4498.34,14500,-128.2,460.34
7/14/1988,4274.31,14400,220.6,745.51
7/15/1988,4525.95,14400,-190.51,357.06
7/16/1988,4555.45,14400,-95.39,389.57
7/17/1988,4375.77,14400,56.69,828.99
7/18/1988,4251.62,14400,187,850.24
7/19/1988,4444.92,14300,-486.8,140.12
7/20/1988,4346.37,14200,-5.76,631.44
7/21/1988,3945.7,14300,-36.17,548.34
7/22/1988,4224.19,14300,-100.17,348.17
7/23/1988,4140.09,14300,-8.17,753.58
7/24/1988,3661.57,14300,55.27,743.52
7/25/1988,4082.41,14200,-38.73,511.42
7/26/1988,4009.76,13900,-67.66,560.11
7/27/1988,4038.68,13500,-188.73,434.37
7/28/1988,3923.52,13200,-0.92,652.28
7/29/1988,4207.25,13100,62.23,624.41
7/30/1988,3980.07,12800,-1.07,520.12
7/31/1988,3387.54,12400,-40.25,472.89
8/1/1988,3621.66,12200,-68.29,497.67
8/2/1988,3054.7,12200,-190.99,333.01
8/3/1988,3686.13,12200,-157.21,192.29
8/4/1988,3745.76,12100,-62.31,697.98
8/5/1988,3559.36,11800,31.03,612.88
8/6/1988,3166.04,11400,-62.2,411.09
8/7/1988,3465.35,11200,188,759.19
8/8/1988,3109.44,10800,-274.25,255.05
8/9/1988,3404.7,10500,-386.33,113.8
8/10/1988,3073.13,10200,42.03,471.64
8/11/1988,3112.52,9920,-62.97,286.84
8/12/1988,3542.6,10000,-54.38,764.22
8/13/1988,3207.77,9970,40,572.65
8/14/1988,3068.51,9960,-52.1,519.74
8/15/1988,3032.85,9940,-20.93,520.93
8/16/1988,2815.09,9950,-51.65,539.09
8/17/1988,2795.04,9940,-50.38,496
8/18/1988,2867.78,9920,-18.45,512.48
8/19/1988,2942.31,9930,12.34,550.17
8/20/1988,2565.75,9840,13.37,467.47
8/21/1988,2083.82,9600,-292.16,306.81
8/22/1988,2652.92,9590,-47.77,509.58
8/23/1988,2666.13,9590,104.5,616.76
8/24/1988,3242.84,9590,14.75,563.58
8/25/1988,2218.86,9580,75.25,600.31
8/26/1988,2427.3,9580,76.28,532.25
8/27/1988,2660.4,9420,-345.46,199.47
8/28/1988,2769.08,9310,-77.25,434.1
8/29/1988,2809.21,9100,-77.7,389.87
8/30/1988,2468.94,8620,137.99,622.22
8/31/1988,2073.43,8380,-137.7,332.79
9/1/1988,2734.26,8370,-45.4,453.08
9/2/1988,2278.9,8380,-45.16,414.16
9/3/1988,2049.96,8380,-43.88,431.1
9/4/1988,2510.34,8420,-43.61,432.56
9/5/1988,3210.19,8430,16.87,472.06
9/6/1988,2381.96,8450,-68.25,398.78
9/7/1988,2890.18,8100,32.57,483.95
9/8/1988,2280.16,7520,-87.77,377.37
9/9/1988,2169.26,6820,-57.8,351.52
9/10/1988,2229.99,6540,61.7,529.91
9/11/1988,2765.58,6550,-58.1,363.5
9/12/1988,2678.91,6390,-87.81,363.48
9/13/1988,2516.91,5740,-206.21,251.99
9/14/1988,2523.99,5510,1.8,447.68
9/15/1988,2502.99,5400,149.94,603.44
9/16/1988,2403.32,5060,30.58,452.56
9/17/1988,2905.36,4420,572.16,956.95
9/18/1988,1881.44,4190,-660.28,-235.61
9/19/1988,2312.52,4170,-177.07,202.03
9/20/1988,2402.22,4190,297.23,820.13
9/21/1988,2455.31,4190,60.53,502.72
9/22/1988,2818.4,4140,-58.87,354.18
9/23/1988,2233.21,3990,60.55,456.63
9/24/1988,2592.12,3890,30.8,430.7
9/25/1988,2464.65,3810,-58.65,364.49
9/26/1988,2245.87,3810,-58.66,341.25
9/27/1988,2565.7,3810,180.19,588.43
9/28/1988,3055.21,3760,1.1,397.46
9/29/1988,2438.29,3680,-28.98,379.24
9/30/1988,3068.77,3670,30.98,434.14
10/1/1988,3140,3650,90,517.43
10/2/1988,2756,3660,0,405.4
10/3/1988,2487.67,3660,90.3,506.81
10/4/1988,2442.95,3670,-30.13,375.47
10/5/1988,2287.7,3830,-120.26,284.88
10/6/1988,2493.62,3870,121.35,530.89
10/7/1988,2260.94,3870,-119.45,318.19
10/8/1988,2397.1,3880,61.06,475.64
10/9/1988,2414.6,3890,-88.96,313.61
10/10/1988,2277.09,3880,30.86,462.42
10/11/1988,2596.47,3820,-29.18,373.72
10/12/1988,2604.14,3470,1,392.62
10/13/1988,2650.31,3470,-28.98,373.58
10/14/1988,2467.93,3260,30.98,422.66
10/15/1988,3038.82,3080,-59.11,377.42
10/16/1988,2294.39,3080,30.92,434.04
10/17/1988,2118.47,2990,-208.18,181.84
10/18/1988,3619.56,2780,60.02,463.09
10/19/1988,1831.7,2580,-29.18,374.37
10/20/1988,3247.01,2500,0.62,400
10/21/1988,2953.8,2500,-29.04,376.41
10/22/1988,2443.11,2380,0.74,410.76
10/23/1988,2436.69,2220,30.42,445.06
10/24/1988,2820.67,2210,-29.15,391.23
10/25/1988,2858.57,2060,0.64,416.34
10/26/1988,2453.15,2010,847,1280.7
10/27/1988,2577.53,2010,-814.17,-472.08
10/28/1988,2508.48,2000,-29.24,349.19
10/29/1988,2631.45,2000,30.36,450.74
10/30/1988,2321.85,2010,-28.72,391.57
10/31/1988,2707.98,1860,30.8,417.82
11/1/1988,2801.6,1690,-177.06,201.67
11/2/1988,2919.25,1430,88.9,503.22
11/3/1988,3180.35,1480,238.35,676.46
11/4/1988,4032.19,1470,-59.75,328.56
11/5/1988,3108.59,1430,-178.6,237.48
11/6/1988,3079.09,1330,118.93,552.45
11/7/1988,3079.97,1110,1,322.95
11/8/1988,2857.62,1090,59.66,530.39
11/9/1988,2797.06,1140,-29.86,343.12
11/10/1988,3077.01,1120,59.72,472.56
11/11/1988,2861.72,1130,-59.72,311.35
