DateTime,jck_af,pal_af,rir_af,grs_af,isl_af,amf_af,min_af,hen_af
12/28/1980,546870,960244,40661.54,12134,105053,1134767,37890,85600
12/29/1980,546400,963979,40846.2,12147,105434,1141989,37990,85600
12/30/1980,546170,967141,40990.77,12159,105814,1147766,38090,85600
12/31/1980,545700,970162,41032,12172,106195,1153062,37990,85600
1/1/1981,545700,973352,41133,12172,106405,1159802,37680,85600
1/2/1981,545700,976688,41344.08,12171,106546,1164641,37680,85700
1/3/1981,545700,979733,41427.12,12170,106895,1170070,37470,85800
1/4/1981,545700,982778,41573.75,12169,107245,1174018,36850,85800
1/5/1981,545700,985984,41657.77,12169,107595,1180928,36850,85800
1/6/1981,549428.69,989496,41720.95,12168,107740,1186357,36850,85800
1/7/1981,548485.31,992277,41763.07,12167,108020,1193780,37890,85800
1/8/1981,548485.31,994471,41826.36,12166,108375,1196228,38090,85800
1/9/1981,548485.31,997398,41868.63,12166,108590,1201657,37890,85800
1/10/1981,548485.31,1000190,41931.56,12165,108800,1204618,38400,85800
1/11/1981,548485.31,1002552,41995.11,12164,109085,1208073,38400,85800
1/12/1981,548485.31,1005357,42079.98,12163,109300,1214017,38400,85800
1/13/1981,547783.5,1007718,42122.5,12163,109382,1214521,38400,85800
1/14/1981,547783.5,1010382,42207.63,12162,109456,1217545,37680,85800
1/15/1981,547783.5,1013057,42250.24,12161,110015,1218049,37370,85800
1/16/1981,547783.5,1015112,42314.31,12160,110155,1220570,38920,85800
1/17/1981,547783.5,1017792,42378.44,12160,110370,1233171,38510,85800
1/18/1981,547783.5,1020472,42442.14,12159,110585,1237204,37890,85800
1/19/1981,548726.88,1023062,42527.92,12158,110870,1243252,37370,85800
1/20/1981,548726.88,1025167,42592.38,12158,111090,1247789,37160,85800
1/21/1981,548726.88,1027578,42656.89,12159,111450,1252326,37370,85800
1/22/1981,549198.63,1029987,42721.5,12160,111685,1256863,37470,85800
1/23/1981,549198.63,1032107,42786,12161,111962,1261903,37570,85800
1/24/1981,549198.63,1035142,42957.92,12163,112240,1265985,37060,85900
1/25/1981,549198.63,1037570,42957.92,12164,112530,1268553,36850,85900
1/26/1981,551557.13,1039853,43022.78,12165,112820,1275747,36950,86000
1/27/1981,552028.81,1042455,43087.74,12166,113185,1282427,37060,86000
1/28/1981,553904.13,1045011,43174.49,12168,113475,1289107,37260,86100
1/29/1981,554145.69,1047538,43261.41,12169,113915,1292704,37370,86000
1/30/1981,554617.38,1050032,43348.52,12170,114205,1298870,37260,86100
1/31/1981,555319.19,1052453,43457.66,12172,114500,1301953,37060,86200
